id,Exercise Name,Muscle Group,Equipment,Difficulty,Exercise_Type,Combined_Text,Exercise_URL,Video_URL,description
269,Bodyweight Tricep Extension,triceps,bodyweight,Intermediate,Muscle Building,"1
Begin in a plank position. Hands shoulder width apart. Break at the elbows while letting your elbows fall to the floor.
2
Extend your elbows until you are back in the starting position.



Bodyweight Fitness, Arm Exercise, At Home Exercise, Triceps Exercise, Bodyweight Exercise, Tricep Exercise",https://musclewiki.com/bodyweight/male/triceps/bodyweight-tricep-extension/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bodyweight-bodyweight-tricep-extension-front.mp4#t=0.1,"The 'Bodyweight Tricep Extension' is a 'Intermediate' level 'Muscle Building' exercise that targets the 'triceps' and requires 'bodyweight'. Instructions and tips: 1.Begin in a plank position. Hands shoulder width apart. Break at the elbows while letting your elbows fall to the floor..2.Extend your elbows until you are back in the starting position..Bodyweight Fitness, Arm Exercise, At Home Exercise, Triceps Exercise, Bodyweight Exercise, Tricep Exercise"
270,Bodyweight Underhand Inverted Row,"biceps, forearms",bodyweight,Beginner,Muscle Building,"1
Lay underneath a fixed horizontal bar and grab the bar with an underhand grip.
2
Pull your body straight up to the bar.
3
Return to the starting position, your arms fully extended. Repeat.



Bodyweight Exercise, Lats Exercise, At Home Exercise, Bodyweight Fitness",https://musclewiki.com/bodyweight/male/biceps/bodyweight-underhand-inverted-row/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bodyweight-bodyweight-underhand-inverted-row-front.mp4#t=0.1,"The 'Bodyweight Underhand Inverted Row' is a 'Beginner' level 'Muscle Building' exercise that targets the 'biceps, forearms' and requires 'bodyweight'. Instructions and tips: 1.Lay underneath a fixed horizontal bar and grab the bar with an underhand grip..2.Pull your body straight up to the bar..3.Return to the starting position, your arms fully extended. Repeat..Bodyweight Exercise, Lats Exercise, At Home Exercise, Bodyweight Fitness"
271,Bodyweight Waiters Bow,"hamstrings, glutes",bodyweight,Beginner,Muscle Building,"1
Place a barbell at about midway up your thigh. Press your quads into the barbell.
2
Push your hips back while leaving your knees mostly extended. Look for a stretch in your hamstrings.
3
When you feel the stretch, push your hips forward until you're back in a standing position.



Butt Exercise, Bodyweight Fitness, Glutes Exercise, Leg Exercise, Glute Exercise, Hamstrings Exercise, At Home Exercise, Bodyweight Exercise, Hamstring Exercise",https://musclewiki.com/bodyweight/male/lowerback/bodyweight-waiters-bow/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bodyweight-bodyweight-waiters-bow-side.mp4#t=0.1,"The 'Bodyweight Waiters Bow' is a 'Beginner' level 'Muscle Building' exercise that targets the 'hamstrings, glutes' and requires 'bodyweight'. Instructions and tips: 1.Place a barbell at about midway up your thigh. Press your quads into the barbell..2.Push your hips back while leaving your knees mostly extended. Look for a stretch in your hamstrings..3.When you feel the stretch, push your hips forward until you're back in a standing position..Butt Exercise, Bodyweight Fitness, Glutes Exercise, Leg Exercise, Glute Exercise, Hamstrings Exercise, At Home Exercise, Bodyweight Exercise, Hamstring Exercise"
272,Bosu Ball Burpee,"chest, quads, glutes",bosu-ball,Intermediate,Muscle Building,"1
Stand on Bosu with feet shoulder-width apart.
2
Drop into squat position and place hands on Bosu.
3
Jump feet back into plank, perform a pushup, then jump back to squat.



Butt Exercise, Glutes Exercise, Leg Exercise, Glute Exercise, Quad Exercise, Quads Exercise, How To Do A Burpee, Bosu, How to do Burpee",https://musclewiki.com/bosu-ball/male/glutes/bosu-ball-burpee/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-burpee-front.mp4#t=0.1,"The 'Bosu Ball Burpee' is a 'Intermediate' level 'Muscle Building' exercise that targets the 'chest, quads, glutes' and requires 'bosu-ball'. Instructions and tips: 1.Stand on Bosu with feet shoulder-width apart..2.Drop into squat position and place hands on Bosu..3.Jump feet back into plank, perform a pushup, then jump back to squat..Butt Exercise, Glutes Exercise, Leg Exercise, Glute Exercise, Quad Exercise, Quads Exercise, How To Do A Burpee, Bosu, How to do Burpee"
273,Bosu Ball Calf Raise,calves,bosu-ball,Beginner,Muscle Building,"1
Stand on Bosu with feet hip-width apart.
2
Rise up on toes, squeezing calves.
3
Lower heels back down to complete one rep.



Bosu, Leg Exercise, Calves Exercise, Calves, How To Do A Calf Raise, How to do Calf Raise",https://musclewiki.com/bosu-ball/male/calves/calf-raise/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-ball-calf-raise-front.mp4#t=0.1,"The 'Bosu Ball Calf Raise' is a 'Beginner' level 'Muscle Building' exercise that targets the 'calves' and requires 'bosu-ball'. Instructions and tips: 1.Stand on Bosu with feet hip-width apart..2.Rise up on toes, squeezing calves..3.Lower heels back down to complete one rep..Bosu, Leg Exercise, Calves Exercise, Calves, How To Do A Calf Raise, How to do Calf Raise"
274,Bosu Ball Curl,biceps,bosu-ball,Beginner,Muscle Building,"1
Hold the bosu vertically.
2
Flex your elbows curling the bosu toward your chin.



Biceps Exercise, How To Do A Curl, Arm Exercise, How to do Curl, Bosu, Bicep Exercise",https://musclewiki.com/bosu-ball/male/biceps/curl/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-curl-front.mp4#t=0.1,"The 'Bosu Ball Curl' is a 'Beginner' level 'Muscle Building' exercise that targets the 'biceps' and requires 'bosu-ball'. Instructions and tips: 1.Hold the bosu vertically..2.Flex your elbows curling the bosu toward your chin..Biceps Exercise, How To Do A Curl, Arm Exercise, How to do Curl, Bosu, Bicep Exercise"
275,Bosu Ball Feet Elevated Glute Bridge,glutes,bosu-ball,Beginner,Muscle Building,"1
Lie on back, place feet on Bosu, knees bent.
2
Lift hips and squeeze glutes.
3
Lower hips back down to complete one rep.



Butt Exercise, Glutes Exercise, How to do Feet Elevated Glute Bridge, Glute Exercise, How To Do A Feet Elevated Glute Bridge, Bosu",https://musclewiki.com/bosu-ball/male/glutes/feet-elevated-glute-bridge/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-feet-elevated-glute-bridge-front.mp4#t=0.1,"The 'Bosu Ball Feet Elevated Glute Bridge' is a 'Beginner' level 'Muscle Building' exercise that targets the 'glutes' and requires 'bosu-ball'. Instructions and tips: 1.Lie on back, place feet on Bosu, knees bent..2.Lift hips and squeeze glutes..3.Lower hips back down to complete one rep..Butt Exercise, Glutes Exercise, How to do Feet Elevated Glute Bridge, Glute Exercise, How To Do A Feet Elevated Glute Bridge, Bosu"
276,Bosu Ball Forearm Plank,abdominals,bosu-ball,Beginner,Muscle Building,"1
Place forearms on Bosu, elbows under shoulders.
2
Extend legs, keeping body straight.
3
Hold the plank position, engaging core.



Abs Exercise, Abs, Bosu, Abdominals Exercise, How To Do A Forearm Plank, Abdominal Exercise, How to do Forearm Plank",https://musclewiki.com/bosu-ball/male/abdominals/bosu-ball-forearm-plank/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-forearm-plank-front.mp4#t=0.1,"The 'Bosu Ball Forearm Plank' is a 'Beginner' level 'Muscle Building' exercise that targets the 'abdominals' and requires 'bosu-ball'. Instructions and tips: 1.Place forearms on Bosu, elbows under shoulders..2.Extend legs, keeping body straight..3.Hold the plank position, engaging core..Abs Exercise, Abs, Bosu, Abdominals Exercise, How To Do A Forearm Plank, Abdominal Exercise, How to do Forearm Plank"
277,Bosu Ball Forearm Sideplank,obliques,bosu-ball,Intermediate,Muscle Building,"1
Lie on one side, forearm on Bosu, elbow under shoulder.
2
Lift hips to create a side plank.
3
Hold the side plank position, then switch sides.



How to do Forearm Sideplank, How To Do A Forearm Sideplank, Bosu, Ab Exercise, Obliques, Obliques Exercise",https://musclewiki.com/bosu-ball/male/obliques/forearm-sideplank/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-forearm-sideplank-front.mp4#t=0.1,"The 'Bosu Ball Forearm Sideplank' is a 'Intermediate' level 'Muscle Building' exercise that targets the 'obliques' and requires 'bosu-ball'. Instructions and tips: 1.Lie on one side, forearm on Bosu, elbow under shoulder..2.Lift hips to create a side plank..3.Hold the side plank position, then switch sides..How to do Forearm Sideplank, How To Do A Forearm Sideplank, Bosu, Ab Exercise, Obliques, Obliques Exercise"
278,Bosu Ball Front Raise,anterior-deltoid,bosu-ball,Beginner,Muscle Building,"1
Hold the bosu vertically.
2
Raise the bosu toward the ceiling while keeping your elbows mostly extended.



How To Do A Front Raise, Anterior Deltoid Exercise, Shoulder Exercise, Bosu, How to do Front Raise, Shoulders Exercise",https://musclewiki.com/bosu-ball/male/anterior-deltoid/front-raise/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-front-raise-front.mp4#t=0.1,"The 'Bosu Ball Front Raise' is a 'Beginner' level 'Muscle Building' exercise that targets the 'anterior-deltoid' and requires 'bosu-ball'. Instructions and tips: 1.Hold the bosu vertically..2.Raise the bosu toward the ceiling while keeping your elbows mostly extended..How To Do A Front Raise, Anterior Deltoid Exercise, Shoulder Exercise, Bosu, How to do Front Raise, Shoulders Exercise"
279,Bosu Ball Half Burpee,"chest, quads, glutes",bosu-ball,Beginner,Muscle Building,"1
Stand on Bosu with feet shoulder-width apart.
2
Drop into squat position and place hands on Bosu.
3
Jump feet back to plank, then jump back to squat.



How to do Half Burpee, How To Do A Half Burpee, Glutes Exercise, Bosu, Glute Exercise, Butt Exercise",https://musclewiki.com/bosu-ball/male/glutes/half-burpee/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-half-burpee-front.mp4#t=0.1,"The 'Bosu Ball Half Burpee' is a 'Beginner' level 'Muscle Building' exercise that targets the 'chest, quads, glutes' and requires 'bosu-ball'. Instructions and tips: 1.Stand on Bosu with feet shoulder-width apart..2.Drop into squat position and place hands on Bosu..3.Jump feet back to plank, then jump back to squat..How to do Half Burpee, How To Do A Half Burpee, Glutes Exercise, Bosu, Glute Exercise, Butt Exercise"
280,Bosu Ball Hand Plank,abdominals,bosu-ball,Beginner,Muscle Building,"1
Place hands on Bosu, shoulder-width apart.
2
Extend legs, keeping body straight.
3
Hold the plank position, engaging core.



How To Do A Hand Plank, How to do Hand Plank, Abs, Bosu, Abdominals Exercise, Abdominal Exercise, Abs Exercise",https://musclewiki.com/bosu-ball/male/abdominals/bosu-ball-hand-plank/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-hand-plank-front.mp4#t=0.1,"The 'Bosu Ball Hand Plank' is a 'Beginner' level 'Muscle Building' exercise that targets the 'abdominals' and requires 'bosu-ball'. Instructions and tips: 1.Place hands on Bosu, shoulder-width apart..2.Extend legs, keeping body straight..3.Hold the plank position, engaging core..How To Do A Hand Plank, How to do Hand Plank, Abs, Bosu, Abdominals Exercise, Abdominal Exercise, Abs Exercise"
281,Bosu Ball Hand Sideplank,obliques,bosu-ball,Intermediate,Muscle Building,"1
Place hand on Bosu, arm straight, facing sideways.
2
Stack feet and lift hips to side plank.
3
Hold the side plank position, then switch sides.



Obliques, How To Do A Hand Sideplank, How to do Hand Sideplank, Obliques Exercise, Bosu, Ab Exercise",https://musclewiki.com/bosu-ball/male/obliques/hand-sideplank/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-hand-sideplank-side.mp4#t=0.1,"The 'Bosu Ball Hand Sideplank' is a 'Intermediate' level 'Muscle Building' exercise that targets the 'obliques' and requires 'bosu-ball'. Instructions and tips: 1.Place hand on Bosu, arm straight, facing sideways..2.Stack feet and lift hips to side plank..3.Hold the side plank position, then switch sides..Obliques, How To Do A Hand Sideplank, How to do Hand Sideplank, Obliques Exercise, Bosu, Ab Exercise"
282,Bosu Ball Hand Sideplank Hip Abduction,"obliques, gluteus-medius",bosu-ball,Advanced,Muscle Building,"1
Start in a side plank with hand on Bosu.
2
Lift the top leg while keeping the body stable.
3
Lower the leg back down.



How to do Hand Sideplank Hip Abduction, Obliques, How To Do A Hand Sideplank Hip Abduction, Obliques Exercise, Bosu, Ab Exercise",https://musclewiki.com/bosu-ball/male/gluteus-medius/hand-sideplank-hip-abduction/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-hand-sideplank-hip-abduction-front.mp4#t=0.1,"The 'Bosu Ball Hand Sideplank Hip Abduction' is a 'Advanced' level 'Muscle Building' exercise that targets the 'obliques, gluteus-medius' and requires 'bosu-ball'. Instructions and tips: 1.Start in a side plank with hand on Bosu..2.Lift the top leg while keeping the body stable..3.Lower the leg back down..How to do Hand Sideplank Hip Abduction, Obliques, How To Do A Hand Sideplank Hip Abduction, Obliques Exercise, Bosu, Ab Exercise"
283,Bosu Ball Hip Thrust,glutes,bosu-ball,Beginner,Muscle Building,"1
Sit on Bosu, lean back, hands on the floor.
2
Drive hips upward, squeezing glutes.
3
Lower hips back down to complete one rep.



Butt Exercise, Glutes Exercise, How To Do A Hip Thrust, Glute Exercise, How to do Hip Thrust, Bosu",https://musclewiki.com/bosu-ball/male/glutes/bosu-ball-hip-thrust/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-hip-thrust-side.mp4#t=0.1,"The 'Bosu Ball Hip Thrust' is a 'Beginner' level 'Muscle Building' exercise that targets the 'glutes' and requires 'bosu-ball'. Instructions and tips: 1.Sit on Bosu, lean back, hands on the floor..2.Drive hips upward, squeezing glutes..3.Lower hips back down to complete one rep..Butt Exercise, Glutes Exercise, How To Do A Hip Thrust, Glute Exercise, How to do Hip Thrust, Bosu"
284,Bosu Ball Lateral Lunge,"quads, glutes, gluteus-medius",bosu-ball,Intermediate,Muscle Building,"1
Stand on Bosu, step sideways into a lunge.
2
Bend knee, keeping the other leg straight.
3
Push off the bent leg, return to starting position.



How To Do A Lateral Lunge, Leg Exercise, Quad Exercise, How to do Lateral Lunge, Bosu, Quads Exercise",https://musclewiki.com/bosu-ball/male/glutes/bosu-ball-lateral-lunge/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-lateral-lunge-front.mp4#t=0.1,"The 'Bosu Ball Lateral Lunge' is a 'Intermediate' level 'Muscle Building' exercise that targets the 'quads, glutes, gluteus-medius' and requires 'bosu-ball'. Instructions and tips: 1.Stand on Bosu, step sideways into a lunge..2.Bend knee, keeping the other leg straight..3.Push off the bent leg, return to starting position..How To Do A Lateral Lunge, Leg Exercise, Quad Exercise, How to do Lateral Lunge, Bosu, Quads Exercise"
285,Bosu Ball Offset Pushup,"chest, triceps",bosu-ball,Intermediate,Muscle Building,"1
Place one hand on Bosu, other on the floor.
2
Lower chest to the ground, keeping the body straight.
3
Push back up to the starting position.



How to do Offset Pushup, Pec Exercise, How To Do A Offset Pushup, Pecs, Bosu, Chest Exercise",https://musclewiki.com/bosu-ball/male/triceps/bosu-ball-offset-pushup/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-offset-pushup-front.mp4#t=0.1,"The 'Bosu Ball Offset Pushup' is a 'Intermediate' level 'Muscle Building' exercise that targets the 'chest, triceps' and requires 'bosu-ball'. Instructions and tips: 1.Place one hand on Bosu, other on the floor..2.Lower chest to the ground, keeping the body straight..3.Push back up to the starting position..How to do Offset Pushup, Pec Exercise, How To Do A Offset Pushup, Pecs, Bosu, Chest Exercise"
286,Bosu Ball Pike Pushup,"triceps, anterior-deltoid",bosu-ball,Intermediate,Muscle Building,"1
Place feet on Bosu, hips high, hands on the floor.
2
Lower the head towards the ground, then push back up.
3
Keep legs straight and hips elevated throughout.



Shoulder Exercise, Anterior Deltoid Exercise, How To Do A Pike Pushup, How to do Pike Pushup, Bosu, Shoulders Exercise",https://musclewiki.com/bosu-ball/male/shoulders/bosu-ball-pike-pushup/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-pike-pushup-front.mp4#t=0.1,"The 'Bosu Ball Pike Pushup' is a 'Intermediate' level 'Muscle Building' exercise that targets the 'triceps, anterior-deltoid' and requires 'bosu-ball'. Instructions and tips: 1.Place feet on Bosu, hips high, hands on the floor..2.Lower the head towards the ground, then push back up..3.Keep legs straight and hips elevated throughout..Shoulder Exercise, Anterior Deltoid Exercise, How To Do A Pike Pushup, How to do Pike Pushup, Bosu, Shoulders Exercise"
287,Bosu Ball Pike Shrug,traps,bosu-ball,Beginner,Muscle Building,"1
Place toes on Bosu, hands on the floor.
2
Pike hips up, shrug shoulders, engage core.



Trapezius Exercise, Traps Exercise, How To Do A Pike Shrug, Bosu, How to do Pike Shrug",https://musclewiki.com/bosu-ball/male/traps/pike-shrug/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-pike-shrug-side.mp4#t=0.1,"The 'Bosu Ball Pike Shrug' is a 'Beginner' level 'Muscle Building' exercise that targets the 'traps' and requires 'bosu-ball'. Instructions and tips: 1.Place toes on Bosu, hands on the floor..2.Pike hips up, shrug shoulders, engage core..Trapezius Exercise, Traps Exercise, How To Do A Pike Shrug, Bosu, How to do Pike Shrug"
288,Bosu Ball Plank Glute Kickback,"glutes, abdominals",bosu-ball,Intermediate,Muscle Building,"1
Start in a plank position with Bosu under feet.
2
Lift one leg back, squeezing glutes.
3
Lower the leg back down and switch sides.



Butt Exercise, How to do Plank Glute Kickback, Glutes Exercise, Glute Exercise, How To Do A Plank Glute Kickback, Bosu",https://musclewiki.com/bosu-ball/male/abdominals/plank-glute-kickback/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-plank-glute-kickback-front.mp4#t=0.1,"The 'Bosu Ball Plank Glute Kickback' is a 'Intermediate' level 'Muscle Building' exercise that targets the 'glutes, abdominals' and requires 'bosu-ball'. Instructions and tips: 1.Start in a plank position with Bosu under feet..2.Lift one leg back, squeezing glutes..3.Lower the leg back down and switch sides..Butt Exercise, How to do Plank Glute Kickback, Glutes Exercise, Glute Exercise, How To Do A Plank Glute Kickback, Bosu"
289,Bosu Ball Pushup,"chest, triceps",bosu-ball,Intermediate,Muscle Building,"1
Place hands on Bosu, shoulder-width apart.
2
Lower chest to the ground, keeping the body straight.
3
Push back up to the starting position.



How to do Pushup, How To Do A Pushup, Pec Exercise, Pecs, Bosu, Chest Exercise",https://musclewiki.com/bosu-ball/male/triceps/bosu-ball-pushup/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-pushup-front.mp4#t=0.1,"The 'Bosu Ball Pushup' is a 'Intermediate' level 'Muscle Building' exercise that targets the 'chest, triceps' and requires 'bosu-ball'. Instructions and tips: 1.Place hands on Bosu, shoulder-width apart..2.Lower chest to the ground, keeping the body straight..3.Push back up to the starting position..How to do Pushup, How To Do A Pushup, Pec Exercise, Pecs, Bosu, Chest Exercise"
290,Bosu Ball Reverse Lunge,"quads, glutes",bosu-ball,Beginner,Muscle Building,"1
Hold medicine ball at chest.
2
Step back into lunge position.
3
Return to starting position. Repeat on other leg.



Gluteus Maximus Exercise, Butt Exercise, Glutes Exercise, Outer Quadricep Exercise, Leg Exercise, Glute Exercise, Quad Exercise, Inner Quadriceps Exercise, How To Do A Reverse Lunge, Quads Exercise, How to do Reverse Lunge",https://musclewiki.com/bosu-ball/male/glutes/reverse-lunge/,https://media.musclewiki.com/media/uploads/videos/branded/male-Medicine-Ball-reverse-lunge-side.mp4#t=0.1,"The 'Bosu Ball Reverse Lunge' is a 'Beginner' level 'Muscle Building' exercise that targets the 'quads, glutes' and requires 'bosu-ball'. Instructions and tips: 1.Hold medicine ball at chest..2.Step back into lunge position..3.Return to starting position. Repeat on other leg..Gluteus Maximus Exercise, Butt Exercise, Glutes Exercise, Outer Quadricep Exercise, Leg Exercise, Glute Exercise, Quad Exercise, Inner Quadriceps Exercise, How To Do A Reverse Lunge, Quads Exercise, How to do Reverse Lunge"
291,Bosu Ball Row,biceps,bosu-ball,Beginner,Muscle Building,"1
Hold bosu and hinge forward.
2
Pull bosu towards chest, squeezing shoulder blades.



Bosu, How to do Row, Lats Exercise, How To Do A Row",https://musclewiki.com/bosu-ball/male/biceps/row/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-row-front.mp4#t=0.1,"The 'Bosu Ball Row' is a 'Beginner' level 'Muscle Building' exercise that targets the 'biceps' and requires 'bosu-ball'. Instructions and tips: 1.Hold bosu and hinge forward..2.Pull bosu towards chest, squeezing shoulder blades..Bosu, How to do Row, Lats Exercise, How To Do A Row"
292,Bosu Ball Single Leg Elevated Glute Bridge,glutes,bosu-ball,Intermediate,Muscle Building,"1
Lie on back, place one foot on Bosu, knee bent.
2
Lift hips, squeezing glutes, one leg extended.
3
Lower hips back down and switch legs.



Butt Exercise, Glutes Exercise, Glute Exercise, How to do Single Leg Elevated Glute Bridge, Bosu, How To Do A Single Leg Elevated Glute Bridge",https://musclewiki.com/bosu-ball/male/glutes/single-leg-elevated-glute-bridge/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-single-leg-elevated-glute-bridge-front.mp4#t=0.1,"The 'Bosu Ball Single Leg Elevated Glute Bridge' is a 'Intermediate' level 'Muscle Building' exercise that targets the 'glutes' and requires 'bosu-ball'. Instructions and tips: 1.Lie on back, place one foot on Bosu, knee bent..2.Lift hips, squeezing glutes, one leg extended..3.Lower hips back down and switch legs..Butt Exercise, Glutes Exercise, Glute Exercise, How to do Single Leg Elevated Glute Bridge, Bosu, How To Do A Single Leg Elevated Glute Bridge"
293,Bosu Ball Single Leg Hip Thrust,glutes,bosu-ball,Beginner,Muscle Building,"1
Sit on Bosu, lean back, one foot on the floor.
2
Drive hips upward, squeezing glutes, one leg extended.
3
Lower hips back down and switch legs.



Butt Exercise, How To Do A Single Leg Hip Thrust, How to do Single Leg Hip Thrust, Glutes Exercise, Glute Exercise, Bosu",https://musclewiki.com/bosu-ball/male/lowerback/single-leg-hip-thrust/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-single-leg-hip-thrust-front.mp4#t=0.1,"The 'Bosu Ball Single Leg Hip Thrust' is a 'Beginner' level 'Muscle Building' exercise that targets the 'glutes' and requires 'bosu-ball'. Instructions and tips: 1.Sit on Bosu, lean back, one foot on the floor..2.Drive hips upward, squeezing glutes, one leg extended..3.Lower hips back down and switch legs..Butt Exercise, How To Do A Single Leg Hip Thrust, How to do Single Leg Hip Thrust, Glutes Exercise, Glute Exercise, Bosu"
294,Bosu Ball Single Leg Squat,"quads, glutes",bodyweight,Beginner,Muscle Building,"1
Stand on a bosu ball and balance on one leg.
2
Try to bend and extend the knee of the supporting leg (single leg squat) while keeping your balance.



Butt Exercise, Glutes Exercise, Leg Exercise, Quad Exercise, Glute Exercise, Quads Exercise",https://musclewiki.com/recovery/male/glutes/squat-on-bosu-ball-single-leg/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-squat-on-bosu-ball-single-leg-front.mp4#t=0.1,"The 'Bosu Ball Single Leg Squat' is a 'Beginner' level 'Muscle Building' exercise that targets the 'quads, glutes' and requires 'bodyweight'. Instructions and tips: 1.Stand on a bosu ball and balance on one leg..2.Try to bend and extend the knee of the supporting leg (single leg squat) while keeping your balance..Butt Exercise, Glutes Exercise, Leg Exercise, Quad Exercise, Glute Exercise, Quads Exercise"
295,Bosu Ball Situp,"abdominals, upper-abdominals",bosu-ball,Beginner,Muscle Building,"1
Lie on back, bosu elevated toward the ceiling.
2
Sit up, engaging core muscles.
3
Lower back down to complete one situp.



How To Do A Situp, Abs Exercise, Abs, Bosu, Abdominals Exercise, Abdominal Exercise, How to do Situp",https://musclewiki.com/bosu-ball/male/abdominals/situp/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-situp-front.mp4#t=0.1,"The 'Bosu Ball Situp' is a 'Beginner' level 'Muscle Building' exercise that targets the 'abdominals, upper-abdominals' and requires 'bosu-ball'. Instructions and tips: 1.Lie on back, bosu elevated toward the ceiling..2.Sit up, engaging core muscles..3.Lower back down to complete one situp..How To Do A Situp, Abs Exercise, Abs, Bosu, Abdominals Exercise, Abdominal Exercise, How to do Situp"
296,Bosu Ball Split Squat,"quads, glutes",bosu-ball,Beginner,Muscle Building,"1
Take a split stance. Make sure to keep your chest tall.
2
Bring your rear knee to the floor or close to it.
3
Drive through your front heel and your rear foot back to the starting position.



Quads, Butt Exercise, How To Do A Split Squat, Bodyweight Fitness, Glutes Exercise, beginner Bodyweight exercise, Leg Exercise, Glutes, Glute Exercise, Quad Exercise, How to do Split Squat, Balance, Squat, At Home Exercise, Bodyweight Exercise, Quads Exercise, Split Squat",https://musclewiki.com/bosu-ball/male/glutes/split-squat/,https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-split-squat-front.mp4#t=0.1,"The 'Bosu Ball Split Squat' is a 'Beginner' level 'Muscle Building' exercise that targets the 'quads, glutes' and requires 'bosu-ball'. Instructions and tips: 1.Take a split stance. Make sure to keep your chest tall..2.Bring your rear knee to the floor or close to it..3.Drive through your front heel and your rear foot back to the starting position..Quads, Butt Exercise, How To Do A Split Squat, Bodyweight Fitness, Glutes Exercise, beginner Bodyweight exercise, Leg Exercise, Glutes, Glute Exercise, Quad Exercise, How to do Split Squat, Balance, Squat, At Home Exercise, Bodyweight Exercise, Quads Exercise, Split Squat"
297,Bosu Ball Squat,"quads, glutes",bosu-ball,Beginner,Muscle Building,"1
Stand on Bosu, feet shoulder-width apart.
2
Squat down, keeping knees aligned with toes.
3
Push through heels to stand back up.



How to do Squat, Butt Exercise, Glutes Exercise, Leg Exercise, Glute Exercise, Quad Exercise, Bosu, Quads Exercise, How To Do A Squat",https://musclewiki.com/bosu-ball/male/glutes/squat/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-squat-front.mp4#t=0.1,"The 'Bosu Ball Squat' is a 'Beginner' level 'Muscle Building' exercise that targets the 'quads, glutes' and requires 'bosu-ball'. Instructions and tips: 1.Stand on Bosu, feet shoulder-width apart..2.Squat down, keeping knees aligned with toes..3.Push through heels to stand back up..How to do Squat, Butt Exercise, Glutes Exercise, Leg Exercise, Glute Exercise, Quad Exercise, Bosu, Quads Exercise, How To Do A Squat"
298,Bosu Ball Toe Tap,"abdominals, lower-abdominals",bosu-ball,Beginner,Muscle Building,"1
Stand in front of a low box.
2
Bring one foot to the edge of the box and alternate as quickly as possible.
3
Only lightly tap your feet to the box.



How To Do A Toe Tap, How to do Toe Tap, Abs, Abdominals Exercise, Abdominal Exercise, Abs Exercise",https://musclewiki.com/bosu-ball/male/abdominals/toe-tap/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bodyweight-toe-tap-side.mp4#t=0.1,"The 'Bosu Ball Toe Tap' is a 'Beginner' level 'Muscle Building' exercise that targets the 'abdominals, lower-abdominals' and requires 'bosu-ball'. Instructions and tips: 1.Stand in front of a low box..2.Bring one foot to the edge of the box and alternate as quickly as possible..3.Only lightly tap your feet to the box..How To Do A Toe Tap, How to do Toe Tap, Abs, Abdominals Exercise, Abdominal Exercise, Abs Exercise"
299,Bosu Ball Up And Over,"abdominals, lower-abdominals",bosu-ball,Beginner,Muscle Building,"1
Stand next to Bosu, step up and over it.
2
Repeat, moving laterally side to side.
3
Keep a steady pace, engaging core muscles.



Abdominal Exercise, Abs, Abs Exercise, How to do Up And Over, Bosu, Abdominals Exercise, How To Do A Up And Over",https://musclewiki.com/bosu-ball/male/abdominals/up-and-over/,https://media.musclewiki.com/media/uploads/videos/branded/male-Bosu-Ball-up-and-over-front.mp4#t=0.1,"The 'Bosu Ball Up And Over' is a 'Beginner' level 'Muscle Building' exercise that targets the 'abdominals, lower-abdominals' and requires 'bosu-ball'. Instructions and tips: 1.Stand next to Bosu, step up and over it..2.Repeat, moving laterally side to side..3.Keep a steady pace, engaging core muscles..Abdominal Exercise, Abs, Abs Exercise, How to do Up And Over, Bosu, Abdominals Exercise, How To Do A Up And Over"
